Date,Price,Open,High,Low,Change %
"Oct 21, 2017",58.311,59.964,60.379,56.08,-2.78
"Oct 20, 2017",59.98,59.614,62.3,58.111,0.72
"Oct 19, 2017",59.55,60.5,61.399,58.221,-1.57
"Oct 18, 2017",60.5,59.187,61.803,52.882,2.35
"Oct 17, 2017",59.113,64.782,65,58.466,-8.75
"Oct 16, 2017",64.782,65.861,66.479,62.272,-1.28
"Oct 15, 2017",65.624,63.94,70.25,62,2.68
"Oct 14, 2017",63.913,59.306,66.316,58.21,7.77
"Oct 13, 2017",59.305,60.303,60.779,55.22,-0.83
"Oct 12, 2017",59.8,50.804,59.8,50.693,17.71
"Oct 11, 2017",50.804,50.698,51.139,50.193,0.21
"Oct 10, 2017",50.698,50.068,51.78,49.66,1.2
"Oct 09, 2017",50.098,53.3,53.485,47.981,-6.15
"Oct 08, 2017",53.379,52.628,54.82,52.309,1.54
"Oct 07, 2017",52.571,52.068,52.952,51.531,0.99
"Oct 06, 2017",52.056,51.643,52.8,51.35,0.76
"Oct 05, 2017",51.665,51.235,51.948,50.12,0.84
"Oct 04, 2017",51.235,52.083,52.999,50.501,-1.75
"Oct 03, 2017",52.15,53.301,53.569,51.187,-2.27
"Oct 02, 2017",53.359,54.875,55.196,52.98,-2.75
"Oct 01, 2017",54.87,55.532,55.69,53.557,-1.24
"Sep 30, 2017",55.56,52.958,56.01,52.913,5.08
"Sep 29, 2017",52.875,54.919,54.955,50.552,-3.58
"Sep 28, 2017",54.84,56.823,57.247,53.9,-3.63
"Sep 27, 2017",56.904,52.203,57.38,52.091,9.05
"Sep 26, 2017",52.183,52.361,54.426,51.316,-0.32
"Sep 25, 2017",52.353,47.3,53.24,47.3,10.54
"Sep 24, 2017",47.359,49.148,49.417,47.079,-3.64
"Sep 23, 2017",49.15,47.535,49.89,46.201,3.47
"Sep 22, 2017",47.5,46.333,48.7,44.62,2.39
"Sep 21, 2017",46.393,51.538,52.56,44.997,-9.92
"Sep 20, 2017",51.502,52.58,54.376,50.985,-2.23
"Sep 19, 2017",52.679,56.299,57.091,51,-6.12
"Sep 18, 2017",56.111,50.72,57.377,50.72,10.65
"Sep 17, 2017",50.71,51.892,52.778,47.59,-2.15
"Sep 16, 2017",51.824,51.82,56.763,49.521,0.01
"Sep 15, 2017",51.821,44.898,55.236,33,15.16
"Sep 14, 2017",45,61.653,62.675,44.63,-27.01
"Sep 13, 2017",61.653,65.945,66.3,57.76,-6.29
"Sep 12, 2017",65.794,68.121,72,64.3,-3.21
"Sep 11, 2017",67.979,67.25,71.499,65.617,0.92
"Sep 10, 2017",67.356,70.75,70.9,62.54,-5
"Sep 09, 2017",70.899,72.91,73.5,68.674,-2.88
"Sep 08, 2017",73,80.1,82.21,67.4,-8.86
"Sep 07, 2017",80.1,81.11,83.031,77.1,-1.25
"Sep 06, 2017",81.111,73,82,73,10.67
"Sep 05, 2017",73.288,66.8,74.569,60.746,9.75
"Sep 04, 2017",66.776,78.76,78.761,61.81,-15.1
"Sep 03, 2017",78.65,78.495,83.58,72.823,0.34
"Sep 02, 2017",78.38,87.155,93.619,72.441,-10.03
"Sep 01, 2017",87.115,72.352,89.677,71.266,19.85
"Aug 31, 2017",72.689,65.6,74.251,64.776,11.06
"Aug 30, 2017",65.452,63.527,66.064,61.397,3.02
"Aug 29, 2017",63.534,62.161,63.933,60.631,2.24
"Aug 28, 2017",62.14,60.462,64.82,58.729,2.71
"Aug 27, 2017",60.501,51.529,64.265,51.5,17.41
"Aug 26, 2017",51.529,50.915,52.097,49.9,1.22
"Aug 25, 2017",50.907,49.678,52.274,49.26,2.5
"Aug 24, 2017",49.663,53.004,53.464,49.55,-6.55
"Aug 23, 2017",53.146,46.327,55,45.927,14.98
"Aug 22, 2017",46.22,47.97,47.971,44.51,-3.74
"Aug 21, 2017",48.014,45.7,48.8,45.035,5.22
"Aug 20, 2017",45.632,44.976,47.314,43.9,1.46
"Aug 19, 2017",44.976,46.485,46.524,42.71,-3.36
"Aug 18, 2017",46.541,43.68,47.8,43.014,6.48
"Aug 17, 2017",43.71,43.911,44.909,42.91,-0.46
"Aug 16, 2017",43.911,43.003,44.85,41.961,2.19
"Aug 15, 2017",42.97,45.499,45.57,41.37,-5.4
"Aug 14, 2017",45.424,45.276,46.275,44.86,0.39
"Aug 13, 2017",45.248,45.879,47.68,43.843,-1.38
"Aug 12, 2017",45.879,46.964,47.6,45.783,-2.32
"Aug 11, 2017",46.971,46.5,47.374,46,1.04
"Aug 10, 2017",46.486,47.56,48.593,46.486,-2.26
"Aug 09, 2017",47.56,49,50.208,46.714,-2.94
"Aug 08, 2017",49,46,49.737,45.75,6.52
"Aug 07, 2017",46,45.486,46.79,45.174,1.13
"Aug 06, 2017",45.486,46.311,46.911,45,-1.63
"Aug 05, 2017",46.239,43.018,47.232,42.976,7.49
"Aug 04, 2017",43.018,42.58,43.628,42.283,1.03
"Aug 03, 2017",42.581,41.812,42.99,41.661,1.98
"Aug 02, 2017",41.756,43.12,43.251,41.438,-3.22
"Aug 01, 2017",43.147,42.107,44.361,40.2,2.29
"Jul 31, 2017",42.183,40.001,43.47,38.111,5.45
"Jul 30, 2017",40.001,41.017,42,39.601,-2.56
"Jul 29, 2017",41.053,40.439,41.375,38.384,1.52
"Jul 28, 2017",40.439,41.774,42.153,39.532,-3.2
"Jul 27, 2017",41.774,42.102,42.404,40.655,-0.78
"Jul 26, 2017",42.102,42.081,42.83,40.101,-0.21
"Jul 25, 2017",42.191,45.1,45.48,40.2,-6.45
"Jul 24, 2017",45.1,45.107,45.698,44.06,-0.02
"Jul 23, 2017",45.107,47.01,47.207,43.62,-4.05
"Jul 22, 2017",47.01,45.45,47.577,45.136,3.43
"Jul 21, 2017",45.45,44.85,47.89,44.2,1.42
"Jul 20, 2017",44.812,40,46.137,40,11.98
"Jul 19, 2017",40.018,43.469,44.25,39.5,-7.72
"Jul 18, 2017",43.365,42.129,44.9,40.701,3.03
"Jul 17, 2017",42.09,40.934,43.03,39.651,2.96
"Jul 16, 2017",40.879,38.409,41.864,36,6.51
"Jul 15, 2017",38.38,42.35,42.5,37.701,-9.37
"Jul 14, 2017",42.35,45.165,45.664,39.635,-6.24
"Jul 13, 2017",45.168,46.84,47.39,43.776,-3.57
"Jul 12, 2017",46.84,43.435,47.999,41.275,7.84
"Jul 11, 2017",43.435,44.315,46,40,-2.17
"Jul 10, 2017",44.399,48.201,49.365,42.2,-7.9
"Jul 09, 2017",48.209,50.924,52.153,47.885,-5.33
"Jul 08, 2017",50.924,45.686,51.6,43.592,11.6
"Jul 07, 2017",45.63,50.831,50.992,44.501,-10.23
"Jul 06, 2017",50.831,52.75,52.76,49.235,-3.64
"Jul 05, 2017",52.75,54.59,55.47,48.85,-3.21
"Jul 04, 2017",54.5,45.3,54.833,45.185,20.31
"Jul 03, 2017",45.298,40.4,47.267,39.477,12.12
"Jul 02, 2017",40.4,37.01,41.25,35.7,8.89
"Jul 01, 2017",37.1,38.83,39.241,35.61,-4.46
"Jun 30, 2017",38.83,39.265,40.75,38.332,-1.12
"Jun 29, 2017",39.269,41.192,41.423,38.125,-4.67
"Jun 28, 2017",41.192,39.576,42.418,37.179,4.16
"Jun 27, 2017",39.547,37.78,39.547,32.7,4.68
"Jun 26, 2017",37.78,40.158,40.94,34.1,-6.05
"Jun 25, 2017",40.214,41.31,43.115,37.775,-2.65
"Jun 24, 2017",41.31,45.23,45.615,40.635,-8.67
"Jun 23, 2017",45.23,45.85,46.3,45.023,-1.35
"Jun 22, 2017",45.85,43.76,47.539,42.094,4.68
"Jun 21, 2017",43.8,45.77,46.938,41.6,-4.3
"Jun 20, 2017",45.77,47.197,48.3,43.1,-3.02
"Jun 19, 2017",47.197,43.372,49.99,41.934,9.17
"Jun 18, 2017",43.231,45.358,45.49,39.5,-4.69
"Jun 17, 2017",45.358,33.248,47.5,33.2,36.42
"Jun 16, 2017",33.248,28.565,33.413,27.251,16.5
"Jun 15, 2017",28.54,28.266,29.04,24.3,1.26
"Jun 14, 2017",28.185,30.08,31.016,26.776,-6.3
"Jun 13, 2017",30.08,27.991,30.1,27.42,7.46
"Jun 12, 2017",27.991,33.151,33.422,22,-15.56
"Jun 11, 2017",33.15,28.72,34.164,28.72,15.42
"Jun 10, 2017",28.72,29.506,29.965,28.6,-2.66
"Jun 09, 2017",29.506,29.847,30.812,29.485,-1.14
"Jun 08, 2017",29.847,28.101,30.397,27.435,6.13
"Jun 07, 2017",28.123,29.762,30.564,27.7,-5.51
"Jun 06, 2017",29.762,29.999,30.89,28.185,-0.79
"Jun 05, 2017",29.999,27.415,30.81,27.389,9.51
"Jun 04, 2017",27.395,26.422,27.59,25.81,3.68
"Jun 03, 2017",26.422,26.967,27.155,25.81,-1.98
"Jun 02, 2017",26.957,26.503,27.66,25.4,1.72
"Jun 01, 2017",26.5,24.777,28.6,23.911,6.95
"May 31, 2017",24.777,23.671,25.152,21.93,4.88
"May 30, 2017",23.624,24.789,26,23.1,-4.7
"May 29, 2017",24.789,22.817,25.433,21.925,8.64
"May 28, 2017",22.817,22.069,24.978,20.6,3.29
"May 27, 2017",22.09,24.21,25.3,17.755,-8.76
"May 26, 2017",24.21,27.211,29.424,23.586,-10.42
"May 25, 2017",27.027,33.579,33.99,26.06,-19.51
"May 24, 2017",33.579,30.798,34.45,30.047,9.04
"May 23, 2017",30.796,24.002,30.885,23.274,28.58
"May 22, 2017",23.951,25.61,26.236,21.713,-6.44
"May 21, 2017",25.6,27.202,28.665,25.258,-5.89
"May 20, 2017",27.202,27.373,27.892,26.85,-0.57
"May 19, 2017",27.359,29.134,29.385,26.52,-5.95
"May 18, 2017",29.09,25.977,29.92,25.567,11.84
"May 17, 2017",26.011,23.72,26.936,21.01,9.66
"May 16, 2017",23.72,25.791,26.799,23.188,-7.97
"May 15, 2017",25.774,29.395,29.431,25.479,-12.32
"May 14, 2017",29.395,29.398,30.995,28,-0.02
"May 13, 2017",29.4,27.801,29.409,26,5.77
"May 12, 2017",27.796,31,31.9,27.56,-10.34
"May 11, 2017",31,32.263,34.221,28.33,-4.13
"May 10, 2017",32.335,34,39,30.991,-4.99
"May 09, 2017",34.032,28.706,34.7,24.271,18.55
"May 08, 2017",28.707,30.663,30.989,28,-6.48
"May 07, 2017",30.696,28.676,32.832,28.577,7.04
"May 06, 2017",28.676,26.238,28.999,26.098,9.29
"May 05, 2017",26.238,24.941,28.729,24.089,5.2
"May 04, 2017",24.941,23.001,26.7,22.013,8.34
"May 03, 2017",23.02,17.2,25.4,17.05,33.84
"May 02, 2017",17.2,17.298,17.65,16.5,-0.57
"May 01, 2017",17.299,16.84,17.68,16.158,2.73
"Apr 30, 2017",16.84,16.988,17.509,16.551,-0.41
"Apr 29, 2017",16.909,15.5,17.031,15.354,9.09
"Apr 28, 2017",15.5,16.022,16.069,15.2,-3.26
"Apr 27, 2017",16.022,16.242,16.37,14.4,-1.35
"Apr 26, 2017",16.242,16.604,17.283,15.927,-2.45
"Apr 25, 2017",16.65,16.2,16.83,15.46,2.78
"Apr 24, 2017",16.2,16.7,16.7,15.317,-2.99
"Apr 23, 2017",16.7,15.488,17.345,15.23,7.83
"Apr 22, 2017",15.487,12.851,15.49,12.7,20.62
"Apr 21, 2017",12.839,11.595,13.3,11.437,10.73
"Apr 20, 2017",11.595,10.608,11.99,10.521,9.3
"Apr 19, 2017",10.608,11.52,11.58,10.51,-7.92
"Apr 18, 2017",11.52,11.671,11.97,10.98,-1.2
"Apr 17, 2017",11.66,12.05,12.87,11.51,-3.24
"Apr 16, 2017",12.05,11.848,12.197,11.691,1.7
"Apr 15, 2017",11.848,11.915,12.38,11.243,-0.56
"Apr 14, 2017",11.915,11.234,12.199,11.183,6.06
"Apr 13, 2017",11.234,11.79,11.87,10.75,-4.72
"Apr 12, 2017",11.791,9.7771,12.311,9.758,20.6
"Apr 11, 2017",9.7771,9.9251,10.39,9.51,-1.34
"Apr 10, 2017",9.9101,9.35,10.299,9.01,5.99
"Apr 09, 2017",9.35,10.73,10.99,9,-12.86
"Apr 08, 2017",10.73,10.014,11.3,10,7.15
"Apr 07, 2017",10.014,10.85,11.3,9.557,-7.71
"Apr 06, 2017",10.85,12.415,12.588,10.21,-12.42
"Apr 05, 2017",12.389,9.095,12.75,8.7881,36.22
"Apr 04, 2017",9.095,8.6001,9.4493,8.121,5.75
"Apr 03, 2017",8.6001,8.333,9.4889,7.6013,3.21
"Apr 02, 2017",8.333,7.5874,8.6374,7.13,9.83
"Apr 01, 2017",7.5874,7.13,7.7399,6.5463,7.02
"Mar 31, 2017",7.09,7.8,7.84,6.001,-8.87
"Mar 30, 2017",7.78,4.306,7.857,4.2701,80.68
"Mar 29, 2017",4.306,4.1837,4.36,4.135,2.92
"Mar 28, 2017",4.1837,4.1263,4.2192,4.0634,1.39
"Mar 27, 2017",4.1263,4.0862,4.188,4.0301,0.98
"Mar 26, 2017",4.0862,4.0817,4.1499,4,0.11
"Mar 25, 2017",4.0817,4.1403,4.2099,3.97,-1.42
"Mar 24, 2017",4.1403,4.0076,4.34,3.9171,3.31
"Mar 23, 2017",4.0076,3.955,4.0399,3.8979,1.33
"Mar 22, 2017",3.955,4.0173,4.0173,3.811,-1.61
"Mar 21, 2017",4.0196,4.0584,4.0776,3.98,-0.96
"Mar 20, 2017",4.0584,3.9371,4.06,3.8409,3.08
"Mar 19, 2017",3.9371,4.0049,4.115,3.886,-1.69
"Mar 18, 2017",4.0049,4.1,4.3,3.7794,-2.32
"Mar 17, 2017",4.1,4.2982,4.3522,4.015,-5.53
"Mar 16, 2017",4.34,4.3061,4.559,4.1712,0.79
"Mar 15, 2017",4.3061,4.1707,4.3798,4.112,3.25
"Mar 14, 2017",4.1707,4.3739,4.3899,4.112,-4.65
"Mar 13, 2017",4.3739,3.868,4.47,3.8152,13.08
"Mar 12, 2017",3.868,3.806,3.9199,3.7794,1.63
"Mar 11, 2017",3.806,3.789,3.8875,3.7404,0.45
"Mar 10, 2017",3.789,3.8734,4.085,3.735,-2.18
"Mar 09, 2017",3.8734,3.8882,3.9613,3.8359,-0.38
"Mar 08, 2017",3.8882,4.0069,4.0069,3.8197,-2.96
"Mar 07, 2017",4.0069,4.1003,4.101,3.9173,-2.28
"Mar 06, 2017",4.1003,4.0137,4.1003,3.9812,2.16
"Mar 05, 2017",4.0137,4,4.0195,3.9529,0.34
"Mar 04, 2017",4,4.0999,4.0999,3.9431,-2.69
"Mar 03, 2017",4.1105,4.0601,4.1386,4,1.24
"Mar 02, 2017",4.0601,3.85,4.2659,3.8169,5.46
"Mar 01, 2017",3.85,3.8061,3.9325,3.7806,1.15
"Feb 28, 2017",3.8061,3.8728,3.8986,3.7881,-1.72
"Feb 27, 2017",3.8728,3.8747,3.9012,3.83,-0.05
"Feb 26, 2017",3.8747,3.8801,3.9294,3.819,-0.14
"Feb 25, 2017",3.8801,3.9488,3.9687,3.88,-1.74
"Feb 24, 2017",3.9488,3.9353,3.98,3.8087,1.1
"Feb 23, 2017",3.9057,3.9009,3.961,3.8608,0.12
"Feb 22, 2017",3.9009,3.8566,3.92,3.8429,1.15
"Feb 21, 2017",3.8566,3.8086,3.886,3.7835,1.26
"Feb 20, 2017",3.8086,3.8,3.8509,3.7515,0.23
"Feb 19, 2017",3.8,3.8139,3.8425,3.7528,-0.36
"Feb 18, 2017",3.8139,3.8961,3.9295,3.8139,-2.11
"Feb 17, 2017",3.8961,3.8831,3.9274,3.84,0.33
"Feb 16, 2017",3.8831,3.8933,3.9384,3.8538,-0.26
"Feb 15, 2017",3.8933,3.83,3.9158,3.8043,1.65
"Feb 14, 2017",3.83,3.7698,3.8389,3.7215,1.6
"Feb 13, 2017",3.7698,3.7394,3.7765,3.701,0.81
"Feb 12, 2017",3.7394,3.8153,3.8153,3.7394,-1.99
"Feb 11, 2017",3.8153,3.8296,3.8299,3.7701,-0.37
"Feb 10, 2017",3.8296,3.737,3.8299,3.6503,2.48
"Feb 09, 2017",3.737,3.9208,3.9899,3.61,-4.69
"Feb 08, 2017",3.9208,3.9578,4.01,3.8602,-0.93
"Feb 07, 2017",3.9578,3.924,4.0077,3.9106,0.86
"Feb 06, 2017",3.924,3.9555,4.0084,3.9155,-0.8
"Feb 05, 2017",3.9555,4.012,4.012,3.895,-1.41
"Feb 04, 2017",4.012,4.0141,4.0587,3.94,-0.05
"Feb 03, 2017",4.0141,4.085,4.085,3.8974,-1.74
"Feb 02, 2017",4.085,4.0163,4.099,3.9801,1.71
"Feb 01, 2017",4.0163,4.06,4.0823,4,-1.08
"Jan 31, 2017",4.06,4.0715,4.181,4.0154,-0.28
"Jan 30, 2017",4.0715,3.8351,4.08,3.8351,6.16
"Jan 29, 2017",3.8351,3.8558,3.89,3.8314,-0.54
"Jan 28, 2017",3.8558,3.8809,3.8958,3.8192,-0.65
"Jan 27, 2017",3.8809,3.8368,3.8809,3.7752,1.15
"Jan 26, 2017",3.8368,3.69,3.8738,3.6662,3.98
"Jan 25, 2017",3.69,3.733,3.772,3.65,-1.15
"Jan 24, 2017",3.733,3.8246,3.8636,3.7322,-2.4
"Jan 23, 2017",3.8246,3.85,3.8621,3.744,-0.66
"Jan 22, 2017",3.85,3.9208,3.9259,3.8,-1.81
"Jan 21, 2017",3.9208,3.9098,3.9533,3.88,0.28
"Jan 20, 2017",3.9098,3.907,3.938,3.8502,0.07
"Jan 19, 2017",3.907,3.8949,3.9499,3.8053,0.31
"Jan 18, 2017",3.8949,3.95,3.958,3.7949,-1.39
"Jan 17, 2017",3.95,3.8927,4.0199,3.8401,1.47
"Jan 16, 2017",3.8927,3.9135,3.939,3.8255,-0.53
"Jan 15, 2017",3.9135,3.9466,3.9506,3.8193,-0.84
"Jan 14, 2017",3.9466,3.9262,3.9952,3.86,-0.22
"Jan 13, 2017",3.9553,4.0001,4.0389,3.8622,-1.12
"Jan 12, 2017",4.0001,3.9443,4.1,3.8067,1.41
"Jan 11, 2017",3.9443,4.574,4.619,3.7656,-13.77
"Jan 10, 2017",4.574,4.34,4.659,4.3015,5.39
"Jan 09, 2017",4.34,4.02,4.44,3.8926,7.96
"Jan 08, 2017",4.02,3.963,4.04,3.92,1.44
"Jan 07, 2017",3.963,3.84,3.9999,3.629,3.2
"Jan 06, 2017",3.84,4.2127,4.2892,3.8,-8.85
"Jan 05, 2017",4.2127,4.642,4.721,4.1,-8.22
"Jan 04, 2017",4.59,4.593,4.7222,4.4304,-0.07
"Jan 03, 2017",4.593,4.58,4.6665,4.455,0.28
"Jan 02, 2017",4.58,4.4997,4.74,4.4486,1.78
"Jan 01, 2017",4.4997,4.3635,4.5401,4.3457,3.12
"Dec 31, 2016",4.3635,4.4135,4.4187,4.2738,-1.13
"Dec 30, 2016",4.4135,4.59,4.59,4.25,-3.85
"Dec 29, 2016",4.59,4.5976,4.615,4.4431,-0.17
"Dec 28, 2016",4.5976,4.3633,4.6239,4.3633,5.37
"Dec 27, 2016",4.3633,4.257,4.4946,4.2413,2.5
"Dec 26, 2016",4.257,4.2991,4.4085,4.15,-0.98
"Dec 25, 2016",4.2991,4.431,4.4451,4.1,-2.98
"Dec 24, 2016",4.431,4.6161,4.684,4.31,-4.01
"Dec 23, 2016",4.6161,3.6742,4.6199,3.6044,25.64
"Dec 22, 2016",3.6742,3.632,3.7379,3.6175,1.16
"Dec 21, 2016",3.632,3.656,3.698,3.6023,-0.66
"Dec 20, 2016",3.656,3.6493,3.6599,3.6318,0.18
"Dec 19, 2016",3.6493,3.672,3.6887,3.6296,-0.62
"Dec 18, 2016",3.672,3.7195,3.7197,3.6685,-1.28
"Dec 17, 2016",3.7195,3.6,3.72,3.6,3.32
"Dec 16, 2016",3.6,3.65,3.65,3.6,-1.37
"Dec 15, 2016",3.65,3.6021,3.6587,3.5844,1.33
"Dec 14, 2016",3.6021,3.653,3.6592,3.5789,-1.39
"Dec 13, 2016",3.653,3.6386,3.67,3.6049,0.4
"Dec 12, 2016",3.6386,3.633,3.7017,3.6091,0.15
"Dec 11, 2016",3.633,3.6823,3.6823,3.6046,-1.34
"Dec 10, 2016",3.6823,3.6987,3.7,3.6305,-0.44
"Dec 09, 2016",3.6987,3.68,3.7101,3.6503,0.51
"Dec 08, 2016",3.68,3.6601,3.744,3.6501,0.54
"Dec 07, 2016",3.6601,3.52,3.6651,3.4635,3.98
